1,Alarms/Immobilisers/Tracking Devices
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
3,Blueprinting
4,Bonnet Bulge
5,Bored-out Engine
5,Bored-out Engine
6,Bull Bars
7,Car Phones
7,Car Phones
8,Chipping - Engine Management System Changes
9,Dashboard Changes
10,Decals/Stickers
11,Driving Lights
12,Dual Controls
13,Exhaust System Changes
13,Exhaust System Changes
14,Flared Wheelarches
15,Flared Wings
16,Fog Lamps
17,Front Spoiler/Airdam
18,Hand Controls
19,High Level Brake Light
19,High Level Brake Light
20,Larger Speakers
21,Locking Wheel Nuts
22,Miscellaneous Engine Alterations
22,Miscellaneous Engine Alterations
22,Miscellaneous Engine Alterations
23,Murals
23,Murals
23,Murals
23,Murals
24,Non-standard Engine
25,Non-standard Re-spray
26,Rally Lights
27,Rear Roof Spoiler
28,Rear Spoiler/Aerofoil
29,Rear Valance
30,Seats - Replacement
31,Side Skirts/Sills
32,Sports Steering Wheel
33,Spot Lights
34,Standard Engine Replacement
35,Stripes
36,Sunroof
37,Supercharging
38,Suspension Changes
39,Towbar
40,Transmission Changes
41,Turbocharging
41,Turbocharging
42,Upholstery Changes
43,Uprated Brakes
44,Uprated Stereo Systems
44,Uprated Stereo Systems
45,Wheel Trims
46,Wider Tyres
47,Wider Wheels
48,Badges Indicating Increased Performance
49,Body Kit
50,Bar Ends
51,Chain Guards
52,Crash Bars
53,Engine Casing Guards
54,Fairings
54,Fairings
54,Fairings
54,Fairings
54,Fairings
54,Fairings
55,Fork Braces
56,Frame Modified
57,Gearing Change
58,Grab Rails
59,Handlebar Position Altered
59,Handlebar Position Altered
60,Luggage System/panniers
60,Luggage System/panniers
61,Nitrous Oxide Kit Fitted
62,Paint Work - Non Standard
62,Paint Work - Non Standard
62,Paint Work - Non Standard
62,Paint Work - Non Standard
63,Radiator Bars
64,Slick Tyres
64,Slick Tyres
65,Steering Change
66,Tank Pads
67,Trial Tyres
68,Tail Lift
69,Additional Seating
69,Additional Seating
70,Additional Windows
71,Altered Pedal Configuration
72,Hoist
73,Infra Red Controls
74,Seats - Removal
74,Seats - Removal
75,Tinted Windows
76,Wheelchair Clamps/Straps
77,Wheelchair Lift/Ramp/Winch
77,Wheelchair Lift/Ramp/Winch
78,Air Conditioning
79,LPG Conversion
80,Magnetic/Removable Signs
81,Painted Signs (Under 25% of side and door)
82,Painted Signs (Greater than 25% of side and door)
83,Air Filter
84,After-Market Exhaust System approved for road use
85,Belly Pan
86,Braided Brake Hoses
87,Crash Bungs
87,Crash Bungs
87,Crash Bungs
88,Dynojet Kit
89,End Can
90,Heated Hand Grips
91,Hugger
91,Hugger
92,Scottoiler
93,Steering Damper
94,Sissy Bar
95,Carburettor Changed
96,Twin Carb
97,De-Locked
98,Engine Tuned
99,Light Cluster changed
100,Neon Lights
101,Side Steps
102,Wheel Spacers
103,Parking Sensors
104,Dump Valve
105,Turbo Timer
106,EcoTek Valve
107,Induction Kit (Non-Turbo)
108,Induction Kit (Turbo Vehicle)
109,Power Boost Valve
110,Intercooler - Bigger
111,Uprated Actuator
112,Chromed Engine
112,Chromed Engine
113,Uprated Clutch
